Year,Scenario1,Scenario2,Scenario3,Scenario4
2010,1332007.518,1332007.518,1332008,1332007.518
2011,1337660.117,1337660.117,1342178.018,1347448.307
2012,1342844.033,1343089.796,1352012,1362414.36
2013,1347500.16,1348234.219,1361428,1376799.891
2014,1351581.158,1353039.471,1370355,1390519.18
2015,1355051.211,1357460.742,1378739,1403506.418
2016,1357884.838,1361461.967,1386538,1415714.964
2017,1360065.332,1365014.992,1393722,1427116.122
2018,1361583.172,1368098.597,1400272,1437697.554
2019,1362434.542,1370697.522,1406179,1447461.403
2020,1362620.066,1372801.591,1411442,1456422.215
2021,1362143.739,1374404.945,1416068,1464604.77
2022,1361012.093,1375505.415,1420067,1472041.907
2023,1359233.546,1376104.006,1423455,1478772.434
2024,1356817.925,1376204.482,1426252,1484839.175
2025,1353776.135,1375813.043,1428481,1490287.235
2026,1350119.933,1374938.061,1430165,1495162.487
2027,1345861.795,1373589.87,1431330,1499510.314
2028,1341014.838,1371780.589,1432001,1503374.614
2029,1335592.795,1369523.964,1432203,1506797.046
2030,1329610.003,1366835.227,1431964,1509816.514
2031,1323081.416,1363730.968,1431309,1512468.858
2032,1316022.618,1360229.003,1430262,1514786.732
2033,1308449.834,1356348.25,1428848,1516799.628
2034,1300379.936,1352108.612,1427090,1518534.034
2035,1291830.442,1347530.853,1425012,1520013.676
2036,1282819.501,1342636.487,1422636,1521259.836
2037,1273365.871,1337447.667,1419983,1522291.696
2038,1263488.882,1331987.079,1417075,1523126.715
2039,1253208.395,1326277.841,1413931,1523780.992
2040,1242544.748,1320343.411,1410573,1524269.616
2041,1231518.691,1314207.497,1407021,1524606.985
2042,1220151.327,1307893.974,1403293,1524807.083
2043,1208464.029,1301426.809,1399409,1524883.717
2044,1196478.374,1294829.99,1395390,1524850.697
2045,1184216.059,1288127.46,1391253,1524721.974
2046,1171698.824,1281343.056,1387018,1524511.729
2047,1158948.375,1274500.454,1382705,1524234.417
2048,1145986.308,1267623.117,1378332,1523904.77
2049,1132834.034,1260734.245,1373919,1523537.767
2050,1119512.712,1253856.735,1369483,1523148.574
